step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
569,0.0,1.0,,,,
570,0.0,1.0,,,,
571,0.00137,1.0,,,,
572,0.03362,0.96296,,,,
573,0.0,1.0,,,,
574,0.34057,0.93617,,,,
575,0.00077,1.0,,,,
576,0.0,1.0,,,,
577,0.05349,0.97101,,,,
578,0.0,1.0,,,,
579,0.0,1.0,,,,
580,0.00183,1.0,,,,
581,0.00013,1.0,,,,
582,0.00945,1.0,,,,
583,0.19092,0.93651,,,,
584,0.0,1.0,,,,
585,0.00012,1.0,,,,
586,0.0,1.0,,,,
587,3e-05,1.0,,,,
588,0.72934,0.93333,,,,
589,0.39429,0.87037,,,,
590,0.00231,1.0,,,,
591,0.0,1.0,,,,
592,0.0,1.0,,,,
593,0.11543,0.96552,,,,
594,0.00829,1.0,,,,
595,0.01696,1.0,,,,
596,0.20686,0.96491,,,,
597,0.44041,0.9,,,,
598,0.31745,0.93182,,,,
599,0.02494,1.0,,,,
600,0.08457,0.94872,,,,
601,0.00045,1.0,,,,
602,0.25813,0.96154,,,,
603,0.0,1.0,,,,
604,0.0,1.0,,,,
605,0.00101,1.0,,,,
606,0.00045,1.0,,,,
607,0.02709,1.0,,,,
608,0.0,1.0,,,,
609,2e-05,1.0,,,,
610,0.0,1.0,,,,
611,0.0,1.0,,,,
612,0.14357,0.9697,,,,
613,0.08819,0.96667,,,,
614,0.00602,1.0,,,,
615,0.58474,0.88372,,,,
616,0.13181,0.96,,,,
617,0.0,1.0,,,,
618,0.00168,1.0,,,,
619,0.0,1.0,,,,
620,0.00151,1.0,,,,
621,0.00066,1.0,,,,
622,0.22952,0.98077,,,,
623,0.09225,0.95,,,,
624,0.47342,0.96667,,,,
625,0.0,1.0,,,,
626,0.0,1.0,,,,
627,0.08537,0.95455,,,,
628,0.0,1.0,,,,
629,0.38611,0.96875,,,,
630,0.0,1.0,,,,
631,0.00344,1.0,,,,
632,0.0,1.0,,,,
633,0.0,1.0,,,,
634,0.10979,0.97143,,,,
635,0.13206,0.96,,,,
636,0.00011,1.0,,,,
637,0.0,1.0,,,,
638,0.10665,0.92857,,,,
639,0.53316,0.92188,,,,
640,0.11918,0.94545,,,,
641,0.20436,0.92308,,,,
642,0.54462,0.91667,,,,
643,0.19188,0.93023,,,,
644,0.0,1.0,,,,
645,0.0,1.0,,,,
646,8e-05,1.0,,,,
647,0.45185,0.94737,,,,
648,0.94706,0.80769,,,,
649,0.0,1.0,,,,
650,0.0,1.0,,,,
651,0.33875,0.9,,,,
652,0.01129,1.0,,,,
653,0.35428,0.85106,,,,
654,0.0,1.0,,,,
655,0.0,1.0,,,,
656,0.11493,0.94872,,,,
657,1e-05,1.0,,,,
658,0.0,1.0,,,,
659,0.49217,0.95652,,,,
660,0.40079,0.9,,,,
661,0.0001,1.0,,,,
662,0.0003,1.0,,,,
663,0.0,1.0,,,,
664,0.0,1.0,,,,
665,0.0,1.0,,,,
666,0.16269,0.97959,,,,
667,0.0001,1.0,,,,
668,0.12706,0.96491,,,,
669,0.0,1.0,,,,
670,0.07849,0.98246,,,,
671,0.0,1.0,,,,
672,0.34417,0.94444,,,,
673,0.57993,0.86957,,,,
674,0.0,1.0,,,,
675,0.0,1.0,,,,
676,0.0,1.0,,,,
677,0.09747,0.95,,,,
678,0.0,1.0,,,,
679,0.38764,0.87395,,,,
680,0.0,1.0,,,,
681,0.02553,0.98,,,,
682,0.00217,1.0,,,,
683,0.83125,0.81081,,,,
684,0.00129,1.0,,,,
685,0.01089,1.0,,,,
686,0.20115,0.98077,,,,
687,0.66128,0.82609,,,,
688,0.00244,1.0,,,,
689,0.0,1.0,,,,
690,0.53347,0.96154,,,,
691,0.51466,0.94,,,,
692,0.0,1.0,,,,
693,0.0,1.0,,,,
694,0.44897,0.88571,,,,
695,0.09108,1.0,,,,
696,0.01055,1.0,,,,
697,0.02854,1.0,,,,
698,0.0087,1.0,,,,
699,0.0,1.0,,,,
700,8e-05,1.0,,,,
701,2e-05,1.0,,,,
702,0.17173,0.95238,,,,
703,0.0,1.0,,,,
704,0.0,1.0,,,,
705,0.0,1.0,,,,
706,0.0,1.0,,,,
707,0.00827,1.0,,,,
708,0.1161,0.95556,,,,
709,0.51267,0.84146,,,,
710,0.61638,0.91667,,,,
711,0.13537,0.92857,,,,
712,1.39329,0.68254,,,,
713,0.02761,0.97917,,,,
714,0.0,1.0,,,,
715,0.22116,0.91398,,,,
716,0.0,1.0,,,,
717,0.00141,1.0,,,,
718,0.0,1.0,,,,
719,0.23687,0.95,,,,
720,0.09526,0.94595,,,,
721,0.19116,0.96296,,,,
722,0.32909,0.94118,,,,
723,0.25502,0.88636,,,,
724,0.00369,1.0,,,,
725,0.15885,0.93617,,,,
726,0.0,1.0,,,,
727,0.15206,0.96,,,,
728,2e-05,1.0,,,,
729,0.55352,0.90244,,,,
730,0.26273,0.9,,,,
731,0.0,1.0,,,,
732,0.11281,0.95714,,,,
733,0.25615,0.97368,,,,
734,0.18569,0.94915,,,,
735,0.0,1.0,,,,
736,0.0,1.0,,,,
737,0.04032,0.98571,,,,
738,0.88008,0.77586,,,,
739,0.09939,0.95455,,,,
740,0.0,1.0,,,,
741,0.5468,0.86364,,,,
742,0.0036,1.0,,,,
743,0.00651,1.0,,,,
744,0.47208,0.90244,,,,
745,0.2217,0.91228,,,,
746,0.40721,0.92308,,,,
747,0.0,1.0,,,,
748,0.19902,0.90698,,,,
749,0.06676,0.96774,,,,
750,0.16576,0.94444,,,,
751,0.36265,0.94118,,,,
752,0.27289,0.91667,,,,
753,0.0,1.0,,,,
754,0.0,1.0,,,,
755,0.3617,0.90909,,,,
756,0.05817,0.97368,,,,
757,0.09735,0.95833,,,,
758,0.257,0.94118,,,,
759,5e-05,1.0,,,,
760,0.25438,0.89873,,,,
761,1.5124,0.9,,,,
762,0.0,1.0,,,,
763,0.97683,0.96154,,,,
764,0.11881,0.97561,,,,
765,0.0387,0.98333,,,,
766,0.0,1.0,,,,
767,0.30499,0.96552,,,,
768,0.03137,1.0,,,,
769,0.04571,1.0,,,,
770,0.0,1.0,,,,
771,0.05373,0.97826,,,,
772,0.1689,0.95,,,,
773,0.0,1.0,,,,
774,0.31832,0.89655,,,,
775,0.17249,0.95,,,,
776,0.04399,0.9697,,,,
777,1.20334,0.75676,,,,
778,0.0,1.0,,,,
779,0.0,1.0,,,,
780,0.04871,0.97701,,,,
781,0.25215,0.92982,,,,
782,0.0,1.0,,,,
783,0.40897,0.89369,,,,
784,0.0,1.0,,,,
785,0.0,1.0,,,,
786,0.01748,1.0,,,,
787,0.0,1.0,,,,
788,0.00028,1.0,,,,
789,1e-05,1.0,,,,
790,0.16776,0.95833,,,,
791,3e-05,1.0,,,,
792,0.0,1.0,,,,
793,0.0,1.0,,,,
794,0.19893,0.95588,,,,
795,0.14825,0.95652,,,,
796,0.0,1.0,,,,
797,0.00796,1.0,,,,
798,0.0016,1.0,,,,
799,0.04875,0.97872,,,,
800,0.00575,1.0,,,,
801,0.00042,1.0,,,,
802,0.0,1.0,,,,
803,0.01362,1.0,,,,
804,0.0,1.0,,,,
805,0.0,1.0,,,,
806,0.00615,1.0,,,,
807,0.0,1.0,,,,
808,0.0,1.0,,,,
809,0.0002,1.0,,,,
810,0.01367,1.0,,,,
811,0.10943,0.98246,,,,
812,8e-05,1.0,,,,
813,0.0,1.0,,,,
814,0.0,1.0,,,,
815,0.0,1.0,,,,
816,0.1609,0.97674,,,,
817,0.00033,1.0,,,,
818,0.0,1.0,,,,
819,0.0,1.0,,,,
820,0.04855,0.96667,,,,
821,1.21943,0.68254,,,,
822,0.0,1.0,,,,
823,0.0,1.0,,,,
824,0.11284,0.96721,,,,
825,0.12929,0.98,,,,
826,0.45354,0.88462,,,,
827,0.08053,0.94545,,,,
828,0.74973,0.92308,,,,
829,0.0091,1.0,,,,
830,0.04547,1.0,,,,
831,0.24909,0.9375,,,,
832,0.0,1.0,,,,
833,0.0,1.0,,,,
834,0.95148,0.96296,,,,
835,0.18247,0.97872,,,,
836,0.06193,0.96491,,,,
837,0.0,1.0,,,,
838,0.0,1.0,,,,
839,0.0,1.0,,,,
840,0.0,1.0,,,,
841,0.09554,0.97368,,,,
842,0.52258,0.90244,,,,
843,0.3078,0.85106,,,,
844,0.00147,1.0,,,,
845,0.0,1.0,,,,
846,0.00373,1.0,,,,
847,0.0,1.0,,,,
848,0.06787,0.97778,,,,
849,0.0,1.0,,,,
850,7e-05,1.0,,,,
851,0.00151,1.0,,,,
852,0.0,1.0,,,,
853,0.7836,0.96154,,,,
854,0.0,1.0,,,,
855,0.0,1.0,,,,
856,0.0,1.0,,,,
857,0.0,1.0,,,,
858,0.69297,0.83784,,,,
859,0.1743,0.96154,,,,
860,0.0,1.0,,,,
861,0.0011,1.0,,,,
862,0.0,1.0,,,,
863,0.0,1.0,,,,
864,1.06697,0.75676,,,,
865,0.0,1.0,,,,
866,0.19555,0.94286,,,,
867,0.0,1.0,,,,
868,0.0,1.0,,,,
869,0.0975,0.975,,,,
870,0.0891,0.975,,,,
871,0.0172,1.0,,,,
872,0.0,1.0,,,,
873,0.5665,0.96667,,,,
874,0.08381,0.97436,,,,
875,7e-05,1.0,,,,
876,0.05115,0.98077,,,,
877,0.0,1.0,,,,
878,0.0,1.0,,,,
879,0.26889,0.90769,,,,
880,0.23339,0.92241,,,,
881,0.05739,0.98529,,,,
882,0.0,1.0,,,,
883,0.21147,0.94872,,,,
884,0.0,1.0,,,,
885,0.23421,0.89362,,,,
886,0.02695,0.99057,,,,
887,0.07261,0.97619,,,,
888,0.81082,0.95652,,,,
889,0.0,1.0,,,,
890,0.0,1.0,,,,
891,0.00062,1.0,,,,
892,0.14259,0.96078,,,,
893,0.34355,0.90698,,,,
894,0.00299,1.0,,,,
895,0.28942,0.93182,,,,
